name,color,rarity,number_seen,alsa,number_picked,ata,number_gp,percent_gp,gp_wr,number_oh,oh_wr,number_gd,gd_wr,number_gih,gih_wr,number_gns,gns_wr,iwd,color_group,rarity_full
Fierce Retribution,W,U,96236,4.03,16183,5.58,77250,0.8,0.5379999999999999,13088,0.526,18905,0.56,31993,0.546,45157,0.532,1.4,Mono-color,Uncommon
Journey to Nowhere,W,U,58159,2.56,22024,2.92,124853,0.929,0.5589999999999999,21734,0.565,30535,0.594,52269,0.5820000000000001,72431,0.541,4.1,Mono-color,Uncommon
Leyline Binding,W,M,8490,2.86,2701,3.3,13929,0.86,0.544,2328,0.5429999999999999,3415,0.579,5743,0.564,8165,0.53,3.4,Mono-color,Mythic Rare
Pariah,W,R,32080,5.56,3416,8.81,3909,0.19399999999999998,0.502,617,0.47200000000000003,960,0.508,1577,0.494,2332,0.508,-1.4,Mono-color,Rare
Path to Exile,W,R,13353,2.32,4658,2.6,25035,0.898,0.5479999999999999,4272,0.541,6135,0.583,10407,0.5660000000000001,14573,0.536,3,Mono-color,Rare
Archive Trap,U,R,25995,4.48,5819,5.31,16643,0.49,0.524,2756,0.508,4951,0.606,7707,0.5710000000000001,8798,0.479,9.2,Mono-color,Rare
Archmage's Charm,U,R,30399,5.05,4229,7.45,8679,0.349,0.517,1373,0.513,2478,0.573,3851,0.551,4803,0.48700000000000004,6.4,Mono-color,Rare
Commandeer,U,R,34902,6,4071,9.31,1439,0.06,0.462,238,NA,407,NA,645,0.45399999999999996,789,0.469,-1.5,Mono-color,Rare
Essence Capture,U,U,124031,5.63,18746,7.8,65472,0.598,0.522,10935,0.5329999999999999,18370,0.563,29305,0.551,35846,0.49700000000000005,5.5,Mono-color,Uncommon
Mana Drain,U,M,6499,2.36,2738,2.42,13772,0.85,0.5429999999999999,2325,0.596,3861,0.595,6186,0.596,7488,0.498,9.8,Mono-color,Mythic Rare
Mindbreak Trap,U,M,16792,5.66,2063,8.7,646,0.053,0.486,90,NA,177,NA,267,NA,376,NA,NA,Mono-color,Mythic Rare
Repulse,U,U,92603,3.89,23479,4.81,120025,0.862,0.537,20915,0.536,33439,0.591,54354,0.57,65090,0.508,6.2,Mono-color,Uncommon
Heartless Pillage,B,U,129623,5.79,16778,8.62,45911,0.467,0.523,7618,0.526,12012,0.547,19630,0.539,26179,0.51,2.9,Mono-color,Uncommon
Imp's Mischief,B,R,31779,5.38,3680,8.18,5789,0.272,0.47700000000000004,908,0.441,1442,0.494,2350,0.474,3426,0.48,-0.6,Mono-color,Rare
Murder,B,U,71492,3.12,20099,3.74,108812,0.914,0.5379999999999999,18588,0.5329999999999999,28677,0.581,47265,0.562,61156,0.519,4.4,Mono-color,Uncommon
Overwhelming Forces,B,M,5812,2.23,3146,2.19,17846,0.912,0.574,2799,0.607,4838,0.674,7637,0.649,10021,0.513,13.6,Mono-color,Mythic Rare
Reanimate,B,R,13218,2.35,5275,2.52,27011,0.885,0.523,4506,0.508,7058,0.5529999999999999,11564,0.535,15320,0.513,2.2,Mono-color,Rare
Surgical Extraction,B,R,36600,6.29,4045,9.8,254,0.01,NA,39,NA,69,NA,108,NA,146,NA,NA,Mono-color,Rare
Thoughtseize,B,M,9561,3.21,1900,4.07,8171,0.7340000000000001,0.524,1452,0.539,2140,0.5489999999999999,3592,0.545,4540,0.506,3.9,Mono-color,Mythic Rare
Collective Defiance,R,R,18612,3.11,3998,3.84,19598,0.83,0.534,3083,0.535,4792,0.564,7875,0.5529999999999999,11695,0.52,3.2,Mono-color,Rare
Crackle with Power,R,M,8772,3.13,2468,3.54,11935,0.804,0.5429999999999999,1826,0.532,2994,0.607,4820,0.578,7086,0.517,6.1,Mono-color,Mythic Rare
Electrodominance,R,R,19941,3.35,3522,4.24,16198,0.785,0.521,2511,0.494,3949,0.5489999999999999,6460,0.528,9707,0.515,1.2,Mono-color,Rare
Fling,R,U,142936,6.95,15642,10.43,18015,0.196,0.511,2679,0.47600000000000003,4175,0.526,6854,0.506,11136,0.514,-0.8,Mono-color,Uncommon
Indomitable Creativity,R,M,17229,5.92,1976,9.22,275,0.023,NA,34,NA,65,NA,99,NA,176,NA,NA,Mono-color,Mythic Rare
Skewer the Critics,R,U,94566,3.95,15818,5.35,77423,0.8320000000000001,0.527,12804,0.521,18825,0.539,31629,0.532,45678,0.523,0.9,Mono-color,Uncommon
Skullcrack,R,R,32745,5.76,3187,9.08,2598,0.14,0.46299999999999997,402,NA,579,0.466,981,0.452,1615,0.469,-1.8,Mono-color,Rare
Clear Shot,G,U,65313,2.82,25596,3.26,144712,0.934,0.556,24110,0.551,34596,0.588,58706,0.573,85528,0.545,2.8,Mono-color,Uncommon
Force of Vigor,G,M,15888,5.22,1788,8.21,626,0.059000000000000004,0.486,89,NA,157,NA,246,NA,379,NA,NA,Mono-color,Mythic Rare
Pest Infestation,G,R,14023,2.43,8033,2.53,45514,0.9229999999999999,0.5660000000000001,7476,0.5770000000000001,11325,0.63,18801,0.609,26474,0.534,7.5,Mono-color,Rare
Primal Command,G,R,17802,3,5922,3.47,29348,0.826,0.5529999999999999,4620,0.5379999999999999,7100,0.595,11720,0.5720000000000001,17553,0.541,3.1,Mono-color,Rare
Primal Might,G,R,12743,2.2,6112,2.39,34567,0.9279999999999999,0.556,5578,0.5539999999999999,8327,0.595,13905,0.579,20536,0.54,3.8,Mono-color,Rare
Thornado,G,U,144440,6.7,18470,9.95,31933,0.29,0.522,5235,0.493,7357,0.506,12592,0.501,19243,0.535,-3.4,Mono-color,Uncommon
Abrupt Decay,BG,R,24419,3.95,5063,5.25,21624,0.72,0.542,3680,0.5479999999999999,5450,0.5820000000000001,9130,0.568,12396,0.523,4.5,Two-color,Rare
Anguished Unmaking,WB,M,12264,4.03,2059,5.51,7335,0.609,0.522,1205,0.515,1871,0.551,3076,0.537,4243,0.51,2.7,Two-color,Mythic Rare
Back for More,BG,U,92109,4.03,27297,4.85,129317,0.7879999999999999,0.55,20176,0.536,32552,0.5870000000000001,52728,0.5670000000000001,76079,0.536,3.1,Two-color,Uncommon
Bedevil,BR,R,26121,4.32,4022,5.99,15737,0.667,0.518,2533,0.508,3976,0.542,6509,0.529,9176,0.509,2,Two-color,Rare
Buried in the Garden,WG,U,68315,3.02,27315,3.39,148766,0.887,0.5670000000000001,25067,0.579,35614,0.606,60681,0.595,87756,0.547,4.8,Two-color,Uncommon
Crime // Punishment,WBG,M,11250,3.91,2305,5.01,8082,0.602,0.524,1242,0.525,2061,0.555,3303,0.544,4738,0.51,3.4,Three-plus-color,Mythic Rare
Cruel Ultimatum,UBR,R,26470,4.55,5857,5.48,18225,0.523,0.539,2896,0.555,5259,0.632,8155,0.604,9868,0.48,12.5,Three-plus-color,Rare
Decimate,RG,R,35597,6.39,4006,9.93,1034,0.043,0.47,157,NA,253,NA,410,NA,623,0.507,NA,Two-color,Rare
Decisive Denial,UG,U,136107,6.32,18797,9.14,46649,0.42100000000000004,0.521,7464,0.505,11954,0.552,19418,0.534,26804,0.509,2.5,Two-color,Uncommon
Detention Sphere,WU,R,24837,4.07,4872,5.23,18740,0.657,0.522,3063,0.514,5164,0.564,8227,0.545,10457,0.503,4.3,Two-color,Rare
Endless Detour,WUG,R,37821,6.37,4915,9.5,4474,0.151,0.532,732,0.541,1164,0.565,1896,0.556,2552,0.513,4.3,Three-plus-color,Rare
Fractured Identity,WU,M,5827,2.2,3330,2.18,18490,0.909,0.5589999999999999,3065,0.595,5035,0.642,8100,0.624,10275,0.507,11.8,Two-color,Mythic Rare
Hindering Light,WU,U,146490,7.49,16949,10.99,15050,0.151,0.48200000000000004,2425,0.449,4123,0.511,6548,0.488,8467,0.47700000000000004,1.1,Two-color,Uncommon
Humiliate,WB,U,142396,6.87,20576,9.66,43281,0.353,0.55,7217,0.578,10885,0.5720000000000001,18102,0.575,25141,0.531,4.3,Two-color,Uncommon
Hypothesizzle,UR,U,121964,5.54,20051,7.56,67480,0.579,0.51,10776,0.503,18536,0.5479999999999999,29312,0.531,37931,0.49200000000000005,4,Two-color,Uncommon
Ionize,UR,R,32286,5.46,4479,7.94,10292,0.391,0.509,1677,0.495,2969,0.57,4646,0.5429999999999999,5603,0.478,6.4,Two-color,Rare
"Oko, Thief of Crowns",UG,M,3342,1.3,2819,1.3,16497,0.945,0.569,2939,0.644,4237,0.638,7176,0.6409999999999999,9185,0.512,12.8,Two-color,Mythic Rare
Outlaws' Merriment,WR,R,15668,2.83,5307,3.06,26169,0.821,0.544,4372,0.597,6331,0.5660000000000001,10703,0.579,15461,0.52,5.9,Two-color,Rare
Ride Down,WR,U,138177,6.61,16140,9.74,32461,0.33799999999999997,0.536,5034,0.515,7177,0.537,12211,0.528,20242,0.541,-1.3,Two-color,Uncommon
Savage Smash,RG,U,119172,5.2,18472,7.32,68896,0.625,0.535,11064,0.512,15540,0.539,26604,0.528,42180,0.54,-1.2,Two-color,Uncommon
Siphon Insight,UB,R,25401,4.24,5139,5.55,20784,0.691,0.526,3530,0.524,5867,0.573,9397,0.5539999999999999,11308,0.502,5.2,Two-color,Rare
Terminal Agony,BR,U,124825,5.62,16763,8.15,54500,0.5539999999999999,0.52,8783,0.503,13945,0.551,22728,0.532,31582,0.511,2.1,Two-color,Uncommon
Tyrant's Scorn,UB,U,116603,5.16,22058,6.77,90483,0.6940000000000001,0.5329999999999999,15541,0.542,25803,0.589,41344,0.5710000000000001,48695,0.499,7.2,Two-color,Uncommon
Vanishing Verse,WB,R,25985,4.34,5123,5.6,21558,0.695,0.5529999999999999,3678,0.561,5474,0.607,9152,0.588,12360,0.526,6.2,Two-color,Rare
Villainous Wealth,UBG,R,20820,3.64,6396,4.13,28862,0.7759999999999999,0.52,4610,0.47600000000000003,7951,0.579,12561,0.541,15870,0.499,4.3,Three-plus-color,Rare
Void Rend,WUB,R,34513,5.82,4703,8.59,7301,0.263,0.511,1233,0.493,2002,0.579,3235,0.547,4034,0.48100000000000004,6.6,Three-plus-color,Rare
Voidslime,UG,R,35967,6.21,4448,9.38,4583,0.174,0.501,751,0.445,1141,0.562,1892,0.515,2649,0.488,2.8,Two-color,Rare
Contagion Engine,Colorless/Other,M,6499,2.44,2472,2.6,12573,0.8640000000000001,0.524,1991,0.486,3242,0.5589999999999999,5233,0.531,7311,0.519,1.2,Colorless/Other,Mythic Rare
Grindstone,Colorless/Other,M,14203,4.84,1594,7.38,2175,0.235,0.45399999999999996,400,NA,588,0.46399999999999997,988,0.423,1184,0.48100000000000004,-5.7,Colorless/Other,Mythic Rare
Mindslaver,Colorless/Other,M,9966,3.52,2026,4.3,7316,0.628,0.51,1162,0.479,1879,0.517,3041,0.502,4262,0.516,-1.3,Colorless/Other,Mythic Rare
Unlicensed Hearse,Colorless/Other,R,18252,3.05,4295,3.7,20486,0.818,0.517,3527,0.511,5119,0.531,8646,0.523,11831,0.512,1.2,Colorless/Other,Rare
Dust Bowl,Colorless/Other,R,38100,6.57,4232,10.22,1271,0.05,0.502,210,NA,302,NA,512,0.467,756,0.525,-5.8,Colorless/Other,Rare
